idx,DATA,Zona,Módulo,Código,Loc. Fina+Causa parada OU defeito API,Num,Duração,Carros,Comentário,O. T.,Desc_Zona,FAMÍLIA EQUIPAMENTO,Desc_Acc
988,29/01/2022,MN2_Z3,E2,FK1,Pb volume inferior,1,1.005,0.64,falha na aplicação do cordão,,MN2_Z3,10 - Mastic,MN2_Z3 - E2 - Pb volume inferior
989,31/01/2022,AFM1_Z3,F6RBPOINT,D5Z,Outra parada Pb software,1,7.892,5.00,Falha no deposito pç sucata,1031693405,AFM1_Z3,6 - Robôs,AFM1_Z3 - F6RBPOINT - Outra parada Pb software
990,31/01/2022,ABM2_Z5,J0TABLERO,DE1,Distribuidor pneumático defeituoso,2,7.585,4.80,Conexão pneumatica 90° 1/4 x 8mm quebrada,,ABM2_Z5,1 - Dispositivos,ABM2_Z5 - J0TABLERO - Distribuidor pneumático defeituoso
991,31/01/2022,MN1_Z3,COM1,D2Z,Outra parada sensor,1,7.382,4.68,SENSOR SUJO,,MN1_Z3,1 - Dispositivos,MN1_Z3 - COM1 - Outra parada sensor
992,31/01/2022,MN1_Z3,F0MESAGIR,D2Z,Outra parada sensor,1,5.102,3.23,Sick e barreira com sujeira,,MN1_Z3,15 - Ilha (Sw: armário: instalação elétrica geral),MN1_Z3 - F0MESAGIR - Outra parada sensor
993,31/01/2022,MN2_Z8,0ELEVATE,CM3,Skid fora de serviço,1,3.473,2.20,reposicionado skid,,MN2_Z8,18 - Mesas,MN2_Z8 - 0ELEVATE - Skid fora de serviço
994,31/01/2022,ABM1_Z4,F0TABLERO,CM6,Problemas no skid,1,3.182,2.02,skid parou fora de posicao,,ABM1_Z4,18 - Mesas,ABM1_Z4 - F0TABLERO - Problemas no skid
995,31/01/2022,ABM1_Z2,C0TABLERO,CM6,Problemas no skid,1,2.670,1.69,Index traseiro não indexo todo,,ABM1_Z2,19 - Skid / Pallet,ABM1_Z2 - C0TABLERO - Problemas no skid
996,31/01/2022,MN2_Z3,E0S,I13,Quebra ferramenta,1,1.308,0.83,quebra do braçinho de setup de skid,,MN2_Z3,19 - Skid / Pallet,MN2_Z3 - E0S - Quebra ferramenta
997,31/01/2022,ABM1_Z2,D0TABLERO,CM6,Problemas no skid,2,0.103,0.07,FALHA DE ULTRAPASSAGEM AVANT,,ABM1_Z2,18 - Mesas,ABM1_Z2 - D0TABLERO - Problemas no skid
998,01/02/2022,ABM1_Z2,D0TABLERO,CM6,Problemas no skid,8,15.787,10.00,skid atuou sensor de multi,1031694816,ABM1_Z2,18 - Mesas,ABM1_Z2 - D0TABLERO - Problemas no skid
999,01/02/2022,ABM1_Z2,C4RBPOINT,I3Z,Outra falha Sensores,1,5.993,3.80,Suporte do sensor com parafuso espanado,1031694172,ABM1_Z2,5 - Gripper,ABM1_Z2 - C4RBPOINT - Outra falha Sensores
1000,01/02/2022,MN1_Z4,G1MSROLOS,CM6,Problemas no skid,1,5.797,3.67,Skid 72 estava com os dados zerado,1031694357,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Problemas no skid
1001,01/02/2022,MN1_Z4,G1MSROLOS,B0H,Leitura / escrita pb,1,5.297,3.35,reescrito carta skid 80,1031694815,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Leitura / escrita pb
1002,01/02/2022,ABM1_Z2,COM1,CM6,Problemas no skid,2,4.973,3.15,skid atuou sensor de multi,,ABM1_Z2,18 - Mesas,ABM1_Z2 - COM1 - Problemas no skid
1003,01/02/2022,AFM1_Z3,F3RBPOINT,L85,Pb tambor / magazine trocador,1,2.930,1.86,Falha na troca automática,,AFM1_Z3,3 - Trocadora de eletrodo,AFM1_Z3 - F3RBPOINT - Pb tambor / magazine trocador
1004,01/02/2022,ABM1_Z4,F0TABLERO,CM6,Problemas no skid,1,2.178,1.38,Skid parou antes da posição,,ABM1_Z4,18 - Mesas,ABM1_Z4 - F0TABLERO - Problemas no skid
1005,01/02/2022,ABM1_Z1,A0TABLERO,I3Z,Outra falha Sensores,1,1.925,1.22,Falha sensor scanner segurança (analisand),,ABM1_Z1,15 - Ilha (Sw: armário: instalação elétrica geral),ABM1_Z1 - A0TABLERO - Outra falha Sensores
1006,02/02/2022,MN1_Z4,G1MSROLOS,EW9,Problema de leitura,1,7.107,4.50,leitura incorreta,1031696892,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Problema de leitura
1007,02/02/2022,AFM2_Z3,H0TABLERO,I3Z,Outra falha Sensores,1,3.030,1.92,Skid passou de pos. (Ajuste sensor parada),,AFM2_Z3,18 - Mesas,AFM2_Z3 - H0TABLERO - Outra falha Sensores
1008,02/02/2022,AFM1_Z3,F0TABLERO,CM6,Problemas no skid,1,2.692,1.70,Skid 87 perdeu posição durante subida mesa,,AFM1_Z3,18 - Mesas,AFM1_Z3 - F0TABLERO - Problemas no skid
1009,02/02/2022,AFM2_Z3,J2RBPOINT,L4Z,Outra parada eletrodos,1,2.355,1.49,Eletrodo travado no magazine,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - J2RBPOINT - Outra parada eletrodos
1010,02/02/2022,AFM2_Z4,K0TABLERO,CM3,Skid fora de serviço,1,1.570,0.99,reposicionado skid,,AFM2_Z4,18 - Mesas,AFM2_Z4 - K0TABLERO - Skid fora de serviço
1011,02/02/2022,AFM2_Z3,J1RBPOINT,I1Z,Outra falha Movimento ferramenta,1,1.247,0.79,supervisão de movimento prog 93,,AFM2_Z3,4 - Pinças robô,AFM2_Z3 - J1RBPOINT - Outra falha Movimento ferramenta
1012,02/02/2022,MN2_Z3,P0D,CM5,Problema de geometria suporte,1,0.770,0.49,Pallet não identificado travado transporta,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Problema de geometria suporte
1013,02/02/2022,ABM2_Z3,K0TABLERO,CM6,Problemas no skid,1,0.070,0.04,Skid não atuou sensor preença,,ABM2_Z3,19 - Skid / Pallet,ABM2_Z3 - K0TABLERO - Problemas no skid
1014,04/02/2022,AFM1_Z4,G0TABLERO,G52,Prolema Piloto,1,9.067,5.74,Carro parado sem falha.,1031716337,AFM1_Z4,1 - Dispositivos,AFM1_Z4 - G0TABLERO - Prolema Piloto
1015,04/02/2022,MN1_Z4,G1MSROLOS,EW9,Problema de leitura,2,4.325,2.74,erro de leitura RFID skid 96,,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Problema de leitura
1016,04/02/2022,AFM2_Z3,J4RBPOINT,LS1,Bloqueio mecânico,1,2.995,1.90,Eletrodo travado trocador,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - J4RBPOINT - Bloqueio mecânico
1017,04/02/2022,AFM1_Z3,F0TABLERO,CM6,Problemas no skid,1,1.212,0.77,skid passou da posição,,AFM1_Z3,19 - Skid / Pallet,AFM1_Z3 - F0TABLERO - Problemas no skid
1018,04/02/2022,MN2_Z3,P0D,E24,Bloqueio mecânico motor,1,0.773,0.49,Travamento mecanico cabide,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Bloqueio mecânico motor
1019,07/02/2022,ABM1_Z2,COM1,CYZ,Outra parada ajuste,2,21.464,13.59,Quebra conex locator drum 04 - 29' impacto,,ABM1_Z2,1 - Dispositivos,ABM1_Z2 - COM1 - Outra parada ajuste
1020,07/02/2022,ABM1_Z4,F0TABLERO,CM6,Problemas no skid,1,2.347,1.49,Ultrapassagem de posição SKid 75,,ABM1_Z4,18 - Mesas,ABM1_Z4 - F0TABLERO - Problemas no skid
1021,07/02/2022,ABM1_Z2,C0TABLERO,EPH,Pb posição,1,1.922,1.22,skid 113 passou da posição ,,ABM1_Z2,18 - Mesas,ABM1_Z2 - C0TABLERO - Pb posição
1022,07/02/2022,ABM1_Z4,F0TABLERO,EPH,Pb posição,1,1.440,0.91,skid 75 passou da posição ,,ABM1_Z4,18 - Mesas,ABM1_Z4 - F0TABLERO - Pb posição
1023,07/02/2022,MN2_Z3,E0MROLOS,EPH,Pb posição,1,0.972,0.62,skid passou da posição,,MN2_Z3,18 - Mesas,MN2_Z3 - E0MROLOS - Pb posição
1024,07/02/2022,AFM2_Z4,K0TABLERO,EPH,Pb posição,1,0.885,0.56,skid passou da posição ,,AFM2_Z4,18 - Mesas,AFM2_Z4 - K0TABLERO - Pb posição
1025,08/02/2022,CDC_Z1,C2,EPZ,Outra parada transportador,1,9.585,6.07,Cabide passou direto OT Nº1031749677,,CDC_Z1,12 - Transportador,CDC_Z1 - C2 - Outra parada transportador
1026,08/02/2022,CDC_Z1,D0ELEVAD,EPZ,Outra parada transportador,1,5.475,3.47,Cabide passou direto OT Nº1031749677,,CDC_Z1,12 - Transportador,CDC_Z1 - D0ELEVAD - Outra parada transportador
1027,08/02/2022,AFM1_Z3,F0TABLERO,B6Y,Mesa mal posicionada,1,3.503,2.22,falha posição mesa F0: reset Ok,,AFM1_Z3,18 - Mesas,AFM1_Z3 - F0TABLERO - Mesa mal posicionada
1028,08/02/2022,AFM2_Z3,J4RBPOINT,L84,Pb castanha trocador,1,3.192,2.02,Falha na troca automática eletrodo J4,1031747911,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - J4RBPOINT - Pb castanha trocador
1029,08/02/2022,MN2_Z2,D0ELEVAD,B6Y,Mesa mal posicionada,1,2.147,1.36,falha ao descarregar skid ,,MN2_Z2,18 - Mesas,MN2_Z2 - D0ELEVAD - Mesa mal posicionada
1030,08/02/2022,AFM2_Z4,K0TABLERO,EPH,Pb posição,1,1.167,0.74,skid fora de posição: reset Ok,,AFM2_Z4,19 - Skid / Pallet,AFM2_Z4 - K0TABLERO - Pb posição
1031,08/02/2022,ABM2_Z1,D0TABLERO,EPH,Pb posição,1,1.140,0.72,skid fora de posição: reset Ok,,ABM2_Z1,19 - Skid / Pallet,ABM2_Z1 - D0TABLERO - Pb posição
1032,08/02/2022,ABM1_Z2,D1RBM-C-P,B3Z,Outras paradas mastic/cola,1,1.045,0.66,falha mastic: reset Ok,,ABM1_Z2,10 - Mastic,ABM1_Z2 - D1RBM-C-P - Outras paradas mastic/cola
1033,08/02/2022,MN2_Z2,D0ELEVAD,EPH,Pb posição,1,1.005,0.64,posição elevador: reset Ok,,MN2_Z2,7 - Elevadores,MN2_Z2 - D0ELEVAD - Pb posição
1034,08/02/2022,ABM1_Z2,COM1,D81,Perturbação da Rede,1,0.098,0.06,Variação profinet C42,,ABM1_Z2,15 - Ilha (Sw: armário: instalação elétrica geral),ABM1_Z2 - COM1 - Perturbação da Rede
1035,08/02/2022,MN1_Z4,G1MSROLOS,D33,Outra parada Pb leitura / escrita,1,0.033,0.02,falha leitura tag,,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Outra parada Pb leitura / escrita
1036,09/02/2022,AFM2_Z3,J4RBPOINT,PI2,Pb trocador,1,3.507,2.22,Falha troca automática eletrodo J4,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - J4RBPOINT - Pb trocador
1037,09/02/2022,ABM1_Z2,C0TABLERO,EPH,Pb posição,1,1.922,1.22,skid 108 passou da posição ,,ABM1_Z2,19 - Skid / Pallet,ABM1_Z2 - C0TABLERO - Pb posição
1038,09/02/2022,AFM2_Z4,K0TABLERO,EPH,Pb posição,1,1.368,0.87,skid passou da posição ,,AFM2_Z4,19 - Skid / Pallet,AFM2_Z4 - K0TABLERO - Pb posição
1039,10/02/2022,AFM2_Z3,H0TABLERO,EPH,Pb posição,1,4.005,2.53,Skid 72 parou fora de posição,,AFM2_Z3,18 - Mesas,AFM2_Z3 - H0TABLERO - Pb posição
1040,10/02/2022,ABM1_Z4,F2RBPOINT,BBZ,Outra parada robo,1,2.252,1.43,Agardando Ev1: interlock com Robo F3,,ABM1_Z4,6 - Robôs,ABM1_Z4 - F2RBPOINT - Outra parada robo
1041,10/02/2022,AFM2_Z4,K0TABLERO,EPH,Pb posição,2,2.103,1.33,skid passou da posição: reset Ok,,AFM2_Z4,19 - Skid / Pallet,AFM2_Z4 - K0TABLERO - Pb posição
1042,10/02/2022,AFM2_Z4,COM1,CM6,Problemas no skid,2,0.500,0.32,skid passou da posição ,,AFM2_Z4,19 - Skid / Pallet,AFM2_Z4 - COM1 - Problemas no skid
1043,10/02/2022,MN1_Z4,G1MSROLOS,EW9,Problema de leitura,1,0.370,0.22,falha leitura de tag,,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Problema de leitura
1044,10/02/2022,ABM1_Z2,COM1,D81,Perturbação da Rede,1,0.102,0.06,Falha profinet.,,ABM1_Z2,15 - Ilha (Sw: armário: instalação elétrica geral),ABM1_Z2 - COM1 - Perturbação da Rede
1045,11/02/2022,MN2_Z3,P0D,EPZ,Outra parada transportador,1,6.570,4.16,Cabide travado,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Outra parada transportador
1046,11/02/2022,MN2_Z3,P0D,LS1,Bloqueio mecânico,1,0.470,0.30,bloqueio mecanico: reset Ok,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Bloqueio mecânico
1047,14/02/2022,ABM1_Z2,D1RBM-C-P,FOZ,Outra parada distribuição cola / mastic,16,12.220,7.74,Excesso de material expelido,,ABM1_Z2,10 - Mastic,ABM1_Z2 - D1RBM-C-P - Outra parada distribuição cola / mastic
1048,14/02/2022,ABM1_Z3,E0TABLERO,B0U,Estabilidade suporte sensor,1,6.578,4.17,atuador do sensor quebrado,1031797994,ABM1_Z3,18 - Mesas,ABM1_Z3 - E0TABLERO - Estabilidade suporte sensor
1049,14/02/2022,AFM2_Z3,J2RBPOINT,L4Z,Outra parada eletrodos,1,5.018,3.18,Falha na troca aut,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - J2RBPOINT - Outra parada eletrodos
1050,14/02/2022,MN2_Z3,P0D,IHB,Defaut axe translation,1,1.308,0.83,P0D Def. Limite de torque excedido,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Defaut axe translation
1051,15/02/2022,MN2_Z2,D0ELEVAD,EPF,Sobrecurso,1,5.267,3.34,avançado o skid em manual,,MN2_Z2,19 - Skid / Pallet,MN2_Z2 - D0ELEVAD - Sobrecurso
1052,15/02/2022,ABM2_Z5,JIDPLOCAT,D2Z,Outra parada sensor,2,3.340,2.12,falha sensor avanço serrage C,,ABM2_Z5,1 - Dispositivos,ABM2_Z5 - JIDPLOCAT - Outra parada sensor
1053,15/02/2022,AFM1_Z4,G0TABLERO,B6Y,Mesa mal posicionada,1,2.678,1.70,perda de detector de altura da mesa,,AFM1_Z4,18 - Mesas,AFM1_Z4 - G0TABLERO - Mesa mal posicionada
1054,15/02/2022,ABM1_Z2,C0TABLERO,EPH,Pb posição,1,1.898,1.20,falha posição mesa C0: reset Ok,,ABM1_Z2,18 - Mesas,ABM1_Z2 - C0TABLERO - Pb posição
1055,16/02/2022,MN2_Z3,Q0D,B6A,Palete danificado,2,9.860,6.24,palete travado na descarga,1031801248,MN2_Z3,12 - Transportador,MN2_Z3 - Q0D - Palete danificado
1056,16/02/2022,MN2_Z3,E0S,LS1,Bloqueio mecânico,1,5.763,3.65,cilindro travou no movimento de setup,1031801189,MN2_Z3,1 - Dispositivos,MN2_Z3 - E0S - Bloqueio mecânico
1057,16/02/2022,AFM1_Z2,E0TABLERO,CM6,Problemas no skid,1,4.915,3.11,reposicionado skid manualmente ok,,AFM1_Z2,19 - Skid / Pallet,AFM1_Z2 - E0TABLERO - Problemas no skid
1058,16/02/2022,ABM2_Z3,K0TABLERO,E2Z,Outra parada motor,1,3.450,2.18,falha mesa durante transf. Reset Ok,,ABM2_Z3,19 - Skid / Pallet,ABM2_Z3 - K0TABLERO - Outra parada motor
1059,16/02/2022,AFM2_Z3,H3RBPOINT,L84,Pb castanha trocador,1,3.002,1.90,Falha troca automatica eletrodo H3,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - H3RBPOINT - Pb castanha trocador
1060,16/02/2022,MN2_Z3,P0D,LS1,Bloqueio mecânico,2,2.176,1.38,bloqueio transportador: reset Ok,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Bloqueio mecânico
1061,16/02/2022,AFM1_Z2,D3RBPOINT,BD5,Colagem eletrodo + Nº pt,1,1.743,1.10,colagem de eletrodo prog 142,,AFM1_Z2,4 - Pinças robô,AFM1_Z2 - D3RBPOINT - Colagem eletrodo + Nº pt
1062,16/02/2022,AFM1_Z4,G0TABLERO,EW1,Problema controle de visão,1,1.637,1.04,resetado falha ok,,AFM1_Z4,1 - Dispositivos,AFM1_Z4 - G0TABLERO - Problema controle de visão
1063,16/02/2022,ABM1_Z2,D1RBM-C-P,FQZ,Outra parada produto cola / mastic,1,1.620,1.03,falha mastic: reset Ok,,ABM1_Z2,10 - Mastic,ABM1_Z2 - D1RBM-C-P - Outra parada produto cola / mastic
1064,17/02/2022,ABM1_Z1,B0WTABLERO,EPH,Pb posição,1,0.710,0.45,Skid fora de posição,,ABM1_Z1,18 - Mesas,ABM1_Z1 - B0WTABLERO - Pb posição
1065,18/02/2022,MN1_Z1,A0ELEVAD,CM6,Problemas no skid,1,9.502,6.02,Skid Passou da posição OT_31851334,,MN1_Z1,18 - Mesas,MN1_Z1 - A0ELEVAD - Problemas no skid
1066,18/02/2022,MN2_Z4,L2TABPIVO,B6Y,Mesa mal posicionada,1,6.222,3.94,OT_ 31851335 Mesa parou fora de posição,,MN2_Z4,18 - Mesas,MN2_Z4 - L2TABPIVO - Mesa mal posicionada
1067,18/02/2022,AFM2_Z3,H3RBPOINT,L4Z,Outra parada eletrodos,1,3.770,2.39,Falha na troca de eletrodos: manual OK,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - H3RBPOINT - Outra parada eletrodos
1068,18/02/2022,ABM1_Z4,F0TABLERO,EPH,Pb posição,1,3.080,1.95,Skid 75 parou fora de posição,,ABM1_Z4,18 - Mesas,ABM1_Z4 - F0TABLERO - Pb posição
1069,18/02/2022,MN2_Z3,P0D,LS1,Bloqueio mecânico,1,2.178,1.38,Cabide travado na retacagem,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Bloqueio mecânico
1070,18/02/2022,MN2_Z2,B11MSROLOS,CM6,Problemas no skid,1,1.845,1.17,Skid parou fora de posição,,MN2_Z2,18 - Mesas,MN2_Z2 - B11MSROLOS - Problemas no skid
1071,18/02/2022,ABM1_Z2,D1RBM-C-P,FOZ,Outra parada distribuição cola / mastic,1,0.642,0.41,falha mastic: reset Ok,,ABM1_Z2,10 - Mastic,ABM1_Z2 - D1RBM-C-P - Outra parada distribuição cola / mastic
1072,19/02/2022,ABM1_Z4,F3RBPOINT,I33,Sensor ferramenta HS,1,6.290,3.98,sujeira acionando DPP2 ,1031823620,ABM1_Z4,5 - Gripper,ABM1_Z4 - F3RBPOINT - Sensor ferramenta HS
1073,19/02/2022,ABM2_Z5,J0TABLERO,I3Z,Outra falha Sensores,2,5.176,3.28,sensor baixa velocidade fora de posição,,ABM2_Z5,18 - Mesas,ABM2_Z5 - J0TABLERO - Outra falha Sensores
1074,21/02/2022,MN1_Z4,G1MSROLOS,B0H,Leitura / escrita pb,1,10.593,6.71,falha leitura TAG. inserido inform. manual,1031852343,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - G1MSROLOS - Leitura / escrita pb
1075,21/02/2022,AFM1_Z4,G0TABLERO,CM6,Problemas no skid,2,6.155,3.90,skid 112 passou da posição: manual ok,,AFM1_Z4,19 - Skid / Pallet,AFM1_Z4 - G0TABLERO - Problemas no skid
1076,21/02/2022,ABM2_Z2,H2DMBACCUS,LS1,Bloqueio mecânico,1,3.622,2.29,palet travou no transportador: trilho sujo,,ABM2_Z2,12 - Transportador,ABM2_Z2 - H2DMBACCUS - Bloqueio mecânico
1077,21/02/2022,AFM1_Z1,COM1,D7Z,Outra parada Pb rede API,1,3.042,1.93,Def. barramento PROFINET: robô F6.,,AFM1_Z1,15 - Ilha (Sw: armário: instalação elétrica geral),AFM1_Z1 - COM1 - Outra parada Pb rede API
1078,21/02/2022,AFM2_Z3,H4RBPOINT,L4Z,Outra parada eletrodos,1,2.795,1.77,falha na troca automatica. modo manual ok,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - H4RBPOINT - Outra parada eletrodos
1079,21/02/2022,AFM1_Z2,D3RBPOINT,BD7,Colagem eletrodo (Manut),1,1.890,1.20,colagem de eletrodo,,AFM1_Z2,4 - Pinças robô,AFM1_Z2 - D3RBPOINT - Colagem eletrodo (Manut)
1080,21/02/2022,AFM1_Z3,F0TABLERO,CM6,Problemas no skid,1,0.100,0.06,reposicionado skid,,AFM1_Z3,19 - Skid / Pallet,AFM1_Z3 - F0TABLERO - Problemas no skid
1081,22/02/2022,AFM1_Z4,G0TABLERO,B0V,Falha ligação elétrica,1,28.447,18.02,Falha FRO painel G0SB OT31854071,,AFM1_Z4,15 - Ilha (Sw: armário: instalação elétrica geral),AFM1_Z4 - G0TABLERO - Falha ligação elétrica
1082,22/02/2022,AFM1_Z3,F0TABLERO,D52,Bug de programa,1,13.442,8.51,Perda de Marriage OK ,1031853663,AFM1_Z3,15 - Ilha (Sw: armário: instalação elétrica geral),AFM1_Z3 - F0TABLERO - Bug de programa
1083,22/02/2022,AFM1_Z4,G0TABLERO,CM3,Skid fora de serviço,1,3.437,2.18,reposicionado skid,,AFM1_Z4,18 - Mesas,AFM1_Z4 - G0TABLERO - Skid fora de serviço
1084,22/02/2022,AFM1_Z4,G0TABLERO,B6Y,Mesa mal posicionada,1,2.642,1.67,Falha posição 3 durante descida mesa,,AFM1_Z4,7 - Elevadores,AFM1_Z4 - G0TABLERO - Mesa mal posicionada
1085,22/02/2022,MN2_Z3,P0D,E0A,Deslizamento limitador de torque,1,2.043,1.29,transportador travado,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Deslizamento limitador de torque
1086,22/02/2022,AFM1_Z3,F0TABLERO,CM3,Skid fora de serviço,1,1.985,1.26,reposicionado skid ok,,AFM1_Z3,19 - Skid / Pallet,AFM1_Z3 - F0TABLERO - Skid fora de serviço
1087,23/02/2022,MN2_Z3,P0D,EPO,Pb batente escamoteável,4,3.554,2.37,circuito travando no batente 13,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Pb batente escamoteável
1088,23/02/2022,ABM1_Z2,D1RBM-C-P,B3Z,Outras paradas mastic/cola,1,3.088,2.06,falha mastic: Reset Ok,,ABM1_Z2,10 - Mastic,ABM1_Z2 - D1RBM-C-P - Outras paradas mastic/cola
1089,23/02/2022,AFM2_Z1,F0TABLERO,EPH,Pb posição,1,2.428,1.62,reposicionado skid ,,AFM2_Z1,18 - Mesas,AFM2_Z1 - F0TABLERO - Pb posição
1090,23/02/2022,AFM2_Z4,K0TABLERO,EPH,Pb posição,1,1.872,1.25,Skid fora de posição,,AFM2_Z4,18 - Mesas,AFM2_Z4 - K0TABLERO - Pb posição
1091,23/02/2022,ABM1_Z4,F0TABLERO,CM6,Problemas no skid,1,1.548,1.08,Skid passou de posição,,ABM1_Z4,18 - Mesas,ABM1_Z4 - F0TABLERO - Problemas no skid
1092,23/02/2022,ABM1_Z2,D0TABLERO,EPH,Pb posição,2,1.453,0.97,skid parou fora de posição,,ABM1_Z2,19 - Skid / Pallet,ABM1_Z2 - D0TABLERO - Pb posição
1093,23/02/2022,ABM1_Z4,F0TABLERO,EPH,Pb posição,1,0.572,0.38,skid fora de posição,,ABM1_Z4,19 - Skid / Pallet,ABM1_Z4 - F0TABLERO - Pb posição
1094,24/02/2022,MN2_Z3,E0S,B7Z,Outra parada mecânica,1,19.475,12.98,Quebra do pino de mov. da haste de setup,1031857584,MN2_Z3,1 - Dispositivos,MN2_Z3 - E0S - Outra parada mecânica
1095,24/02/2022,MN2_Z3,E1,EPZ,Outra parada transportador,2,18.232,12.15,Falha no transportador do UAC,,MN2_Z3,12 - Transportador,MN2_Z3 - E1 - Outra parada transportador
1096,24/02/2022,AFM1_Z3,F6RBPOINT,BBZ,Outra parada robo,1,9.173,6.12,Robo F6 perdeu autorização de evolução,1031864768,AFM1_Z3,6 - Robôs,AFM1_Z3 - F6RBPOINT - Outra parada robo
1097,24/02/2022,MN2_Z3,P0D,B6X,Suporte travado + Nº suporte,14,9.041,6.03,P0D Def. Limite de torque excedido,,MN2_Z3,12 - Transportador,MN2_Z3 - P0D - Suporte travado + Nº suporte
1098,24/02/2022,AFM2_Z3,H3RBPOINT,BDO,Pb castanha trocador,1,5.725,3.82,Falha troca automatica eletrodo,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - H3RBPOINT - Pb castanha trocador
1099,24/02/2022,MN2_Z3,E0S,CM6,Problemas no skid,1,4.795,3.20,falha no setup de skid,,MN2_Z3,1 - Dispositivos,MN2_Z3 - E0S - Problemas no skid
1100,24/02/2022,AFM1_Z2,E0TABLERO,CM6,Problemas no skid,1,2.837,1.89,reposicionado skid,,AFM1_Z2,1 - Dispositivos,AFM1_Z2 - E0TABLERO - Problemas no skid
1101,24/02/2022,AFM2_Z4,K0TABLERO,EPH,Pb posição,3,2.470,1.65,skid fora de posição: reset OK,,AFM2_Z4,19 - Skid / Pallet,AFM2_Z4 - K0TABLERO - Pb posição
1102,24/02/2022,AFM1_Z3,F7CMBACCUA,B6X,Suporte travado + Nº suporte,1,1.115,0.74,Cabide n°1 travado. (acompanhando).,,AFM1_Z3,12 - Transportador,AFM1_Z3 - F7CMBACCUA - Suporte travado + Nº suporte
1103,25/02/2022,AFM2_Z3,COM1,CM6,Problemas no skid,1,9.723,6.48,colisão de skid,1031876998,AFM2_Z3,19 - Skid / Pallet,AFM2_Z3 - COM1 - Problemas no skid
1104,25/02/2022,MN2_Z3,E0S,CM6,Problemas no skid,1,2.480,1.65,quabra da alavanca de setup,,MN2_Z3,1 - Dispositivos,MN2_Z3 - E0S - Problemas no skid
1105,25/02/2022,MN1_Z4,H0MESAGIR,D33,Outra parada Pb leitura / escrita,1,1.582,1.05,feito escrita manualmente,,MN1_Z4,8 - TAG (time-out: escrita: leitura e outros),MN1_Z4 - H0MESAGIR - Outra parada Pb leitura / escrita
1106,25/02/2022,MN2_Z2,D0ELEVAD,EPF,Sobrecurso,1,1.207,0.80,elevador não chegou na posição de descida,,MN2_Z2,7 - Elevadores,MN2_Z2 - D0ELEVAD - Sobrecurso
1107,02/03/2022,AFM1_Z2,COM1,L12,Calibração,1,14.345,9.56,Calibração RBD3/FM50,,AFM1_Z2,6 - Robôs,AFM1_Z2 - COM1 - Calibração
1108,02/03/2022,AFM2_Z3,J4RBPOINT,L84,Pb castanha trocador,1,6.837,4.56,Falha na troca automática J4,1031911868,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - J4RBPOINT - Pb castanha trocador
1109,02/03/2022,AFM1_Z4,G0TABLERO,BM9,Célula de presença de veículo com sujeira,1,4.663,3.11,sensor presença de skid ficou atuado,,AFM1_Z4,18 - Mesas,AFM1_Z4 - G0TABLERO - Célula de presença de veículo com sujeira
1110,02/03/2022,AFM1_Z3,F5RBPOINT,D8Z,Outras paradas de rede,1,3.892,2.59,<API:ILOT: Def. barramento PROFINET>,1031910714,AFM1_Z3,15 - Ilha (Sw: armário: instalação elétrica geral),AFM1_Z3 - F5RBPOINT - Outras paradas de rede
1111,02/03/2022,AFM2_Z3,H3RBPOINT,L84,Pb castanha trocador,1,3.297,2.20,Falha troca automática eletrodo,,AFM2_Z3,3 - Trocadora de eletrodo,AFM2_Z3 - H3RBPOINT - Pb castanha trocador
